"district","hour","act1","act2","act3","act4","act5"
"001","4am",9122.518,0,0,0,77.5584
"002","4am",15698.831,77.5584,149.4323,0,359.8908
"003","4am",20033.422,110.3449,0,0,58.3404
"004","4am",13239.059,392.0452,0,0,130.3884
"005","4am",15951.72,0,0,0,0
"006","4am",14798.553,657.4145,0,0,0
"007","4am",12810.223,203.8943,0,0,0
"008","4am",16385.541,201.9216,0,0,200.0994
"009","4am",14878.383,152.8278,0,0,0
"010","4am",13661.436,65.1883,0,0,127.5092
"011","4am",17411.213,0,0,0,564.4124
"012","4am",5752.958,0,0,0,0
"013","4am",16970.98,179.4982,0,0,178.2098
"014","4am",5399.657,36.7282,0,0,68.5853
"015","4am",13769.048,179.2546,0,0,30.4317
"016","4am",15691.641,446.8267,0,0,227.3498
"017","4am",5689.788,437.8731,0,0,23.9264
"018","4am",6055.841,303.5647,0,0,122.5162
"019","4am",11324.637,0,0,0,42.1968
"020","4am",18367.293,195.29,0,0,85.93
"021","4am",10917.953,171.7326,0,0,175.5824
"022","4am",12971.994,93.1572,0,0,59.8107
"023","4am",15910.097,515.7747,0,0,89.4912
"024","4am",19869.501,82.4662,0,0,110.3449
"025","4am",5615.203,206.2229,0,0,0
"026","4am",6652.499,0,0,0,0
"027","4am",10693.297,0,0,0,57.9552
"028","4am",9757.666,455.0552,0,0,0
"029","4am",9599.973,362.2195,0,0,0
"030","4am",17198.976,484.1827,0,0,0
"031","4am",10047.854,319.3003,0,0,0
"032","4am",11646.939,255.3345,0,0,35.8843
"033","4am",9005.931,101.3954,0,0,44.0683
"034","4am",10459.076,111.0767,0,0,150.6942
"035","4am",11973.316,0,0,0,0
"036","4am",20341.24,146.6548,0,0,111.8353
"037","4am",10986.582,0,0,0,0
"038","4am",15029.944,526.2427,85.9779,0,0
"039","4am",7453.468,132.6407,0,0,0
"040","4am",10967.803,109.9239,0,0,0
"041","4am",14952.702,286.469,0,0,0
"042","4am",8247.795,599.4752,0,0,0
"043","4am",15071.787,0,0,0,41.9147
"044","4am",7882.383,294.9536,0,0,107.7304
"045","4am",9729.158,54.7888,0,0,164.1266
"046","4am",9541.834,235.0254,0,0,0
"047","4am",11850,0,0,0,0
"048","4am",6235.503,0,0,0,0
"049","4am",10304.203,278.1486,0,0,42.1968
"050","4am",19513.579,152.502,0,0,183.7199
"051","4am",19176.023,126.9451,0,0,22.5344
"052","4am",13590.035,75.3679,0,0,151.1291
"053","4am",14050.497,0,0,0,0
"054","4am",19173.63,494.6969,0,0,36.2673
"055","4am",13102.093,0,0,0,0
"056","4am",8370.382,66.3375,0,0,71.9088
"057","4am",14823.211,106.0739,0,0,0
"058","4am",9272.322,0,0,0,0
"059","4am",13437.617,405.752,0,0,145.3454
"060","4am",11608.891,0,0,0,0
"061","4am",15709.039,104.1376,0,0,0
"062","4am",17704.327,253.5699,0,0,72.5629
"063","4am",5167.823,22.7125,0,0,0
"064","4am",16084.669,141.7857,0,0,77.5584
"065","4am",11034.866,178.1508,0,0,36.2673
"066","4am",14154.833,362.3288,0,0,0
"001","5am",9122.518,0,0,0,77.5584
"002","5am",15784.761,340.6345,149.4323,0,273.9608
"003","5am",20033.422,110.3449,0,0,58.3404
"004","5am",13186.576,392.0452,0,0,130.3884
"005","5am",15765.685,0,0,0,0
"006","5am",14638.894,892.9669,0,0,0
"007","5am",12606.544,159.4591,0,0,0
"008","5am",16172.717,245.9435,0,0,200.0994
"009","5am",14793.274,152.8278,0,0,0
"010","5am",13661.436,65.1883,0,0,127.5092
"011","5am",17216.679,98.0439,0,0,485.3949
"012","5am",5724.757,0,0,0,75.7502
"013","5am",16970.98,230.9816,0,0,178.2098
"014","5am",5399.657,126.9849,0,0,68.5853
"015","5am",13612.96,179.2546,0,0,30.4317
"016","5am",15691.641,593.4815,0,0,227.3498
"017","5am",5544.906,479.7878,0,0,23.9264
"018","5am",6012.551,444.4436,0,0,122.5162
"019","5am",11242.196,122.1462,0,0,42.1968
"020","5am",18190.32,195.29,0,0,85.93
"021","5am",10483.872,433.5434,0,0,241.5642
"022","5am",12908.322,93.1572,0,0,59.8107
"023","5am",15579.327,716.2244,0,0,147.8316
"024","5am",19869.501,269.0321,0,0,110.3449
"025","5am",5469.384,401.1781,0,0,0
"026","5am",6652.499,0,0,0,0
"027","5am",10468.996,0,0,0,57.9552
"028","5am",9581.191,637.355,0,0,0
"029","5am",9479.57,605.566,0,0,35.8843
"030","5am",16761.559,925.7447,0,0,0
"031","5am",10009.885,390.222,0,0,0
"032","5am",11486.631,388.3306,63.672,0,35.8843
"033","5am",8999.448,169.9807,0,0,44.0683
"034","5am",10154.792,293.6199,0,0,150.6942
"035","5am",11973.316,289.762,0,0,0
"036","5am",20228.445,146.6548,0,0,111.8353
"037","5am",10924.549,179.8014,0,0,0
"038","5am",14905.735,794.4886,85.9779,0,0
"039","5am",7414,132.6407,0,0,0
"040","5am",10723.336,234.673,0,0,0
"041","5am",14952.702,450.5707,0,0,0
"042","5am",7888.088,806.2166,0,0,0
"043","5am",14520.236,68.6409,0,0,41.9147
"044","5am",7559.192,386.9916,0,0,107.7304
"045","5am",9729.158,54.7888,0,0,164.1266
"046","5am",9482.031,343.4222,0,0,0
"047","5am",11767.019,0,0,0,0
"048","5am",6125.377,40.2831,0,0,0
"049","5am",10228.453,461.7878,0,0,42.1968
"050","5am",19289.756,296.9041,0,0,183.7199
"051","5am",19176.023,239.7396,0,0,22.5344
"052","5am",13590.035,244.3649,0,0,151.1291
"053","5am",13793.014,0,0,0,0
"054","5am",18893.32,494.6969,0,0,36.2673
"055","5am",13102.093,0,0,0,0
"056","5am",8309.488,154.8243,0,0,71.9088
"057","5am",14627.444,106.0739,0,0,0
"058","5am",9220.405,51.9173,0,0,0
"059","5am",13269.571,488.7323,0,0,145.3454
"060","5am",11354.862,0,0,0,0
"061","5am",15158.754,104.1376,0,0,0
"062","5am",17704.327,253.5699,0,0,72.5629
"063","5am",5134.733,22.7125,0,0,0
"064","5am",16084.669,141.7857,0,0,77.5584
"065","5am",10976.56,370.6439,0,0,36.2673
"066","5am",13907.636,841.659,0,0,0
"001","6am",8741.179,199.0427,0,0,110.8851
"002","6am",15612.901,652.6062,278.1024,0,197.9875
"003","6am",19812.382,405.6305,0,0,58.3404
"004","6am",12982.147,680.0891,0,0,199.8376
"005","6am",15418.653,242.7991,0,0,0
"006","6am",14457.111,1455.8332,0,0,93.1572
"007","6am",11765.835,361.9657,0,0,0
"008","6am",15145.981,584.1684,0,0,359.9977
"009","6am",14227.798,193.4631,0,0,0
"010","6am",13425.456,396.6585,0,0,127.5092
"011","6am",16800.221,98.0439,0,185.491,485.3949
"012","6am",5571.382,83.7689,81.1838,0,75.7502
"013","6am",16482.401,902.4333,0,0,256.8697
"014","6am",5208.717,126.9849,0,0,68.5853
"015","6am",13161.595,363.7381,0,0,30.4317
"016","6am",14979.564,867.0377,60.8937,0,304.9963
"017","6am",5279.863,1075.9444,23.9264,0,23.9264
"018","6am",5653.025,1450.863,0,95.1896,122.5162
"019","6am",10266.956,319.2404,0,0,42.1968
